# Time [s], Iter[-]
0.014425559627712413,3800
# x [m], y [m], z [m], rho [kg/m3], u [m/s], v [m/s], w [m/s], E [J/kg], s [J/(kg·K)], P [Pa], T [K], sos [m/s]
-0.03125,-0.03125,-0.01,0.6958201900349597,20.289294986656934,0.016266456749718262,0.0,497420.1242429661,9160.377435062343,138398.7701724885,670.1001298721555,527.6741475233348
-0.03125,-0.03125,0.01,0.6921365785085611,20.013293091205536,0.04985501892263438,0.0,500072.5967276425,9165.908802656479,138402.08602858102,673.6823848176599,529.0827010396712
-0.03125,-0.03125,0.03,0.6958201900349597,20.289294986656934,0.016266456749718262,0.0,497420.1242429661,9160.377435062343,138398.7701724885,670.1001298721555,527.6741475233348
-0.03125,0.03125,-0.01,0.6921365785085611,20.013293091205536,-0.0007959499399676113,0.0,500072.5967276425,9165.908804500737,138402.08637258274,673.6823864921137,529.0827016971951
-0.03125,0.03125,0.01,0.6810857439293654,19.167375634679505,0.049855018922634387,0.0,508202.1524108492,9182.680005222384,138411.9052375234,684.6609932934327,533.3763548689492
-0.03125,0.03125,0.03,0.6921365785085611,20.013293091205536,-0.0007959499399676113,0.0,500072.5967276425,9165.908804500737,138402.08637258274,673.6823864921137,529.0827016971951
-0.03125,0.09375,-0.01,0.6921556778362404,20.01325783278287,-0.002303082580588905,0.0,500072.60957241297,9165.900881640084,138405.79409444376,673.6824047509704,529.0827088670761
-0.03125,0.09375,0.01,0.6811049536640733,19.169565406193616,0.14425883012978039,0.0,508201.9949617219,9182.671649331483,138415.60312889185,684.6607121798996,533.3762453699939
-0.03125,0.09375,0.03,0.6921556778362404,20.01325783278287,-0.002303082580588905,0.0,500072.60957241297,9165.900881640084,138405.79409444376,673.6824047509704,529.0827088670761
-0.03125,0.15625,-0.01,0.6921928479761346,20.013185729214264,-0.003708788716702823,0.0,500072.6331140915,9165.884978998023,138413.23433087443,673.6824384173825,529.0827220871901
